Unnamed: 0,Event,Authors,Title,Abstract,Keywords,Publisher,URL_Paper,Date
830,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXXIX Simpósio Brasileiro de Engenharia de Software
			
/


									Abertura
						

",Leopoldo TeixeiraUFPESilvia VergilioUFPREdna Dias CanedoUnBMarcelo MaiaUFUIvan MachadoUFBAMonalessa BarcellosUFESCleidson R. B. de SouzaUFPAThelma E. ColanziUEMCésar FrançaUFRGSKarina KohlUFRGS,Front Matter,Este documento traz o front matter dos Anais do SBES 2025.,['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/sbes/article/view/36980/36765,22/09/2025
916,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXIX Simpósio Brasileiro de Linguagens de Programação
			
/


									Abertura
						

",Hugo Musso GualandiUFRJAndre Murbach MaidlClickHouse,Front Matter,Este documento traz o front matter dos Anais do SBLP 2025.,['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/sblp/article/view/36941/36726,22/09/2025
932,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XIX Simpósio Brasileiro de Componentes, Arquiteturas e Reutilização de Software
			
/


									Abertura
						

",Aline Miotto AmaralUEMAnderson UchôaUFC,Front Matter,Este documento traz o front matter dos Anais do SBCARS 2025.,['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/sbcars/article/view/36968/36753,22/09/2025
935,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos do XVI Congresso Brasileiro de Software: Teoria e Prática
			
/


									Concurso de Teses e Dissertações em Engenharia de Software (Mestrado)
						

",Gabriel BusquimPUC-RioMaria Julia LimaPUC-RioMarcos KalinowskiPUC-Rio,On the Interaction between Software Engineers and Data Scientists when Building Machine Learning-Enabled Systems,"Engineering ML-enabled systems presents various challenges from both a theoretical and practical perspective. One of the key challenges is the effective interaction between actors with different backgrounds who need to work closely together, such as software engineers and data scientists. This dissertation involved three studies investigating the current collaboration dynamics between these two roles in ML projects. Our studies revealed several challenges that can hinder collaboration between software engineers and data scientists, including differences in technical expertise and unclear definitions of each role’s duties. Potential solutions to address these challenges include encouraging team communication and producing concise system documentation.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/cbsoft_estendido/article/view/36958/36743,22/09/2025
936,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos do XVI Congresso Brasileiro de Software: Teoria e Prática
			
/


									Concurso de Teses e Dissertações em Engenharia de Software (Doutorado)
						

",Lucas Francisco da Matta VegiUFMGMarco Tulio ValenteUFMG,Code Smells and Refactorings for Elixir,"Elixir is a modern functional language gaining traction in the industry, but the internal quality of the code written with this language still lacks research. To fill this gap, this thesis investigates code smells and refactorings specific to Elixir, drawing inspiration from classic Fowler catalogs. In the first two studies, a mixed-method approach was adopted to catalog 35 code smells (23 novel and 12 traditional), validated by 181 developers, and 82 refactorings (14 novel), validated by 151 developers. In the third study, we correlated code smells and refactorings, establishing practical guidelines for the disciplined removal of smells through refactorings. The results impact both the prevention of code smells and the prioritization of refactorings in Elixir, for instance.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/cbsoft_estendido/article/view/36959/36744,22/09/2025
938,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos do XVI Congresso Brasileiro de Software: Teoria e Prática
			
/


									Concurso de Teses e Dissertações em Engenharia de Software (Doutorado)
						

",Luana MartinsUFBA / UNISAHeitor CostaUFLAFabio PalombaUNISAIvan MachadoUFBA,Smart Prediction for Test Smell Refactorings,"Software plays a critical role in modern society, making software testing essential for ensuring quality. Poor testing practices, known as test smells, reduce test code quality and maintainability. Although refactoring is a widely used technique to address these issues, little is known about when developers choose to refactor test smells and whether these actions actually improve test code quality. This study introduces a machine learning approach to guide test smell refactoring. First, we aim to mine refactorings performed by developers to derive a catalog of test-specific refactorings. Findings show testing framework evolution helps address test smells. Second, we aim to understand whether developers target low-quality test codes to perform refactorings and their effects on code quality. Our findings reveal that developers tend to refactor structurally low-quality test code more often. Third, we aim to learn whether developers would perform refactorings and which refactorings they would apply to improve the test code quality. Results show that Support Vector Machine models predicted refactoring decisions with 30–100% accuracy.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/cbsoft_estendido/article/view/36961/36746,22/09/2025
951,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do X Simpósio Brasileiro de Testes de Software Sistemático e Automatizado
			
/


									Abertura
						

",Fabiano FerrariUFSCarRohit GheyiUFGC,Front Matter,Este documento traz o front matter dos Anais do SAST 2025.,['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/sast/article/view/36876/36662,22/09/2025
1108,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXXVIII Concurso de Teses e Dissertações
			
/


									Dissertações de Mestrado
						

",Luigi F. Marques da LuzUFPEPaulo Freitas de Araujo-FilhoUFPEDivanilson R. CampeloUFPE,Enhancing Cybersecurity of Automotive Ethernet Networks with Deep Learning-based Intrusion Detection Systems,"The growing number of attack surfaces in vehicles, driven by increased connectivity and the demand for automotive Ethernet, a high-bandwidth in-vehicle network technology, emphasizes the need for effective security mechanisms. This dissertation proposes two deep learning-based intrusion detection systems (IDSs) for identifying cyberattacks in automotive Ethernet networks. The first proposal features an IDS based on a multi-criteria optimized convolutional neural network, designed to enhance detection accuracy, speed, and storage efficiency simultaneously. The second proposal introduces a multi-stage deep learning-based IDS, where the initial stage prioritizes fast detection while the second stage focuses on achieving more accurate results and classifying attacks. The main results of this dissertation comprehend the publication of a paper in SBRC 2023 and another in the Ad Hoc Networks journal.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/ctd/article/view/36359/36146,20/07/2025
1111,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXXVIII Concurso de Teses e Dissertações
			
/


									Teses de Doutorado
						

",Brivaldo Alves da Silva JuniorUFMSItalo Scotá CunhaUFMGRonaldo Alves FerreiraUFMS,Automatic Inference of BGP Community Semantics,"The Border Gateway Protocol (BGP) enables communication between Autonomous Systems (ASes) on the Internet. BGP offers significant flexibility for traffic engineering through BGP communities, which are operator-defined tags that convey information or requests in route announcements. Unfortunately, the absence of standardized semantics or centralized repositories for BGP communities complicates and limits their use, hindering the effective management of interdomain routing. This thesis develops techniques to infer BGP community semantics using public BGP data from routing collectors, overcoming the lack of documentation and providing datasets that can be automatically updated. We first propose a set of techniques to infer location communities, which are communities related to entities or locations traversed by a route. We apply our techniques to billions of routing records from public BGP collectors and show that they produce high precision (ranging from 86% to 93%) and recall (ranging from 72% to 81%). We also design and evaluate algorithms to automatically uncover BGP action communities and ASes that violate standard practices, revealing undocumented relationships between them (e.g., sibling relationships). Our experimental evaluation uncovers previously unknown AS relationships and shows that our algorithm to identify action communities achieves average precision and recall of 92.5% and 86.5%, respectively.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/ctd/article/view/36349/36136,20/07/2025
1116,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXXVIII Concurso de Teses e Dissertações
			
/


									Teses de Doutorado
						

",Diogo M. GonçalvesUnicamp / PUC-RioLuiz F. BittencourtUnicampEdmundo R. M. MadeiraUnicamp,Dynamic Network Slicing for User Mobility Support in 5G Networks,"Network slicing has been a key supporting technology for resource management in modern computer networks, from 5G to 6G and beyond. This paper summarises the thesis developed by the first author at the IC/UNICAMP. This work presents new resource management mechanisms for the dynamic network slicing allocation problem to support mobile users in 5G/edge computing infrastructures. A network simulator was developed to evaluate the proposed solutions. The simulator is available as free software and has been adopted as the validation environment by the scientific community. The results of this work indicate the positive impact of slices’ dynamic resource allocation in dealing with demand variations triggered by mobile users.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/ctd/article/view/36353/36140,20/07/2025
1117,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXXVIII Concurso de Teses e Dissertações
			
/


									Teses de Doutorado
						

",Gabriel C. BertoccoUNICAMPFernanda A. AndalóUNICAMPAnderson RochaUNICAMP,Self-supervised learning for fully unsupervised re-identification in real-world applications,"Re-Identification (ReID) enables real-world applications such as AI-powered surveillance, criminal identification, event understanding, and smart city development. However, it remains challenging due to occlusions, viewpoint changes, and background similarities. Supervised methods perform well but rely on costly, biased annotations, limiting scalability. To address this, we propose self-supervised algorithms for Unsupervised ReID (U-ReID), extendable to modalities such as Text Authorship Verification, tackling high intra-class variation and low inter-class distinction. Our work introduces three fully unsupervised ReID methods: one using camera labels, one without side information, and one scalable to large datasets. We also present a fourth hybrid method for long-range recognition under distortions. These solutions enhance generalization and enable real-world applications in forensics and biometrics.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/ctd/article/view/36354/36141,20/07/2025
1118,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXXVIII Concurso de Teses e Dissertações
			
/


									Teses de Doutorado
						

",Francielle VargasUSPThiago PardoUSPFabrício BenevenutoUFMG,Socially Responsible and Explainable Automated Fact-Checking and Hate Speech Detection,"Desinformação e discurso de ódio formam um ciclo socialmente prejudicial. Pesquisas mostram que a desinformação pode amplificar o discurso de ódio contra grupos badeado na sua identidade social e reforçar estereótipos prejudiciais. Para combater esse ciclo, uma ampla variedade de métodos de Processamento de Linguagem Natural (PLN) tem sido proposto. No entanto, embora o PLN tenha historicamente se baseado em técnicas inerentemente explicáveis, conhecidas como “caixa branca”, como algoritmos baseados em regras, árvores de decisão, modelos ocultos de Markov e regressão logística, a adoção de Grandes Modelos de Linguagem (LLMs) e embeddings de linguagem (frequentemente considerados “caixa preta”), reduziu significativamente a interpretabilidade. Essa falta de transparência introduz riscos consideráveis, incluindo vieses, que se tornaram uma preocupação importante na IA. Esta tese de doutorado aborda essas lacunas críticas propondo novos recursos que garantem explicabilidade e mitigação de vieses em modelos de PLN para essas tarefas. Especificamente, essa tese introduz cinco datasets benchmark (HateBR, HateBRXplain, HausaHate, MOL e FactNews), três métodos inovadores (SELFAR, SSA e B+M) e um sistema web (NoHateBrazil) projetados para melhorar a explicabilidade e a justiça da verificação automática de fatos e da detecção de discurso de ódio. Os modelos propostos superam os baselines para o português e o hausa, ambos idiomas sub-representados. Esta pesquisa contribui para as discussões em curso sobre IA responsável e explicável, preenchendo a lacuna entre desempenho dos modelos e interpretabilidade para aplicações no mundo real. Por fim, os resultados obtidos nessa tese tiveram um impacto significativo tanto nacional quanto internacionalmente, recebendo citações de universidades e institutos de pesquisa de prestígio no exterior e inspirando novos projetos de mestrado e doutorado no Brasil.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/ctd/article/view/36355/36142,20/07/2025
1120,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXXVIII Concurso de Teses e Dissertações
			
/


									Teses de Doutorado
						

",João Phillipe CardenutoUNICAMPDaniel MoreiraLoyola University ChicagoAnderson RochaUNICAMP,Strengthening Scientific Integrity: Digital Forensics for Biomedical Research Imaging,"To fight against the increasing misconduct cases in science, this Ph.D. research confronted the challenge of scientific integrity with a pioneering investigation into digital forensic analysis specifically tailored for biomedical images. This work conducted extensive research into key manipulation types – copy-move forgery, image reuse, and AI-generated content – developing novel, fully explainable, and auditable computational detection methods for each. In a commitment to transparency and to promote research to the area, these techniques are provided as open-source resources. Besides the isolated techniques for each type of image forged, a central contribution is the development of an end-to-end system, created through collaboration with international forensic experts and the U.S. Office of Research Integrity (ORI). This system automates the analysis of scientific publications, starting from PDF documents and ending by identifying figures with potential integrity concerns.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/ctd/article/view/36356/36143,20/07/2025
1121,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXXVIII Concurso de Teses e Dissertações
			
/


									Teses de Doutorado
						

",Lucas Francisco da Matta VegiUFMGMarco Tulio ValenteUFMG,Code Smells and Refactorings for Elixir,"Elixir é uma linguagem funcional moderna em ascensão na indústria, mas a qualidade interna dos códigos criados com essa linguagem ainda carece de estudos. Para preencher essa lacuna, esta tese investiga code smells e refatorações específicos para Elixir, inspirando-se nos catálogos clássicos de Fowler. Nos dois primeiros estudos, uma abordagem metodológica mista foi adotada para catalogar 35 code smells (23 inéditos e 12 tradicionais), validados por 181 desenvolvedores, e 82 refatorações (14 inéditas), validadas por 151 desenvolvedores. No terceiro, correlacionamos smells e refatorações, estabelecendo diretrizes para a remoção disciplinada dos smells. Os resultados têm implicações na prevenção de smells e na priorização de refatorações em Elixir.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/ctd/article/view/36357/36144,20/07/2025
1193,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos do XLIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
			
/


									Concurso de Teses e Dissertações
						

",Brivaldo Alves da Silva JuniorUFMShttp://orcid.org/0000-0003-0210-3989Italo Scotá CunhaUFMGhttp://orcid.org/0000-0002-5756-7775Ronaldo Alves FerreiraUFMShttps://orcid.org/0000-0002-9144-7187,Automatic Inference of BGP Community Semantics,"The Border Gateway Protocol (BGP) enables communication between Autonomous Systems (ASes) on the Internet. BGP offers significant flexibility for traffic engineering through BGP communities, which are operatordefined tags that convey information or requests in route announcements. Unfortunately, the absence of standardized semantics or centralized repositories for BGP communities complicates and limits their use, hindering the effective management of interdomain routing. This thesis develops techniques to infer BGP community semantics using public BGP data from routing collectors, overcoming the lack of documentation and providing datasets that can be automatically updated. We first propose a set of techniques to infer location communities, which are communities related to entities or locations traversed by a route. We apply our techniques to billions of routing records from public BGP collectors and show that they produce high precision (ranging from 86% to 93%) and recall (ranging from 72% to 81%). We also design and evaluate algorithms to automatically uncover BGP action communities and ASes that violate standard practices, revealing undocumented relationships between them (e.g., sibling relationships). Our experimental evaluation uncovers previously unknown AS relationships and shows that our algorithm to identify action communities achieves average precision and recall of 92.5% and 86.5%, respectively.","['Network dynamics', 'Network management']",PDF (English),https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/35874/35661,19/05/2025
1199,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos do XLIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
			
/


									Concurso de Teses e Dissertações
						

",Diogo M. GonçalvesUnicamphttp://orcid.org/0000-0001-7527-176XLuiz F. BittencourtUnicamphttps://orcid.org/0000-0001-6305-9059Edmundo R. M. MadeiraUnicamphttps://orcid.org/0000-0002-1180-2637,Dynamic Network Slicing for User Mobility Support in 5G Networks,"Network slicing has been a key supporting technology for resource management in modern computer networks, from 5G to 6G and beyond. This paper summarises the thesis developed by the first author at the IC/UNICAMP. This work presents new resource management mechanisms for the dynamic network slicing allocation problem to support mobile users in 5G/edge computing infrastructures. A network simulator was developed to evaluate the proposed solutions. The simulator is available as free software and has been adopted as the validation environment by the scientific community. The results of this work indicate the positive impact of slices’ dynamic resource allocation in dealing with demand variations triggered by mobile users.","['5G networks', 'Virtual Networks', 'Network Slicing']",PDF (English),https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/35880/35667,19/05/2025
1203,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos do XLIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
			
/


									Concurso de Teses e Dissertações
						

",Luigi F. Marques da LuzUFPEhttp://orcid.org/0009-0000-8781-9219Paulo Freitas de Araujo-FilhoUFPEhttps://orcid.org/0000-0002-1178-2648Divanilson R. CampeloUFPEhttps://orcid.org/0000-0001-8851-2665,Enhancing Cybersecurity of Automotive Ethernet Networks with Deep Learning-based Intrusion Detection Systems,"O aumento na quantidade de superfícies de ataque em veículos, impulsionado pela crescente presença de conectividade, em conjunto com a necessidade da Ethernet automotiva - uma tecnologia de rede intraveicular de alta largura de banda - evidencia a necessidade de mecanismos de segurança cibernética eficazes. Esta dissertação propõe dois sistemas de detecção de intrusão (IDSs - do inglês Intrusion Detection Systems) baseados em deep learning para a detecção de ciberataques em redes Ethernet automotivas. A primeira proposta apresenta um IDS baseado em uma rede neural convolucional otimizada por múltiplos critérios, projetada para otimizar, de forma simultânea, a precisão e o tempo de detecção, bem como os requisitos de armazenamento. A segunda proposta apresenta um IDS de múltiplos estágios, também baseado em deep learning, em que o primeiro estágio prioriza a rápida detecção de ataques, enquanto o segundo foca na obtenção de resultados mais precisos e também na classificação dos ataques. Como principais resultados desta pesquisa, destacam-se a publicação de um artigo no SBRC 2023 e outro no periódico Ad Hoc Networks.","['Sistemas de detecção de intrusão', 'Aprendizagem profunda', 'Ethernet automotiva']",PDF (English),https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/35876/35663,19/05/2025
1206,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos do XLIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos
			
/


									Concurso de Teses e Dissertações
						

",Frances Albert SantosUnicamphttp://orcid.org/0000-0002-0110-6507Thiago Henrique SilvaUTFPRLeandro Aparecido VillasUnicamp,Urban Perception Extraction from Texts Shared on Social Media: Framework and Applications,"Esta tese apresenta um framework automático e genérico para a extração de percepções urbanas a partir de dados de Redes Sociais Baseadas em Localização (LBSN). O framework é estruturado em cinco camadas principais: Coleta de Dados, Pré-processamento e Embeddings, Treinamento de Modelos, Extração de Conhecimento e Aplicações. Utilizando técnicas de deep learning, incluindo métodos avançados de incorporação de sentenças, o framework captura tanto nuances lexicais quanto semânticas nos dados textuais, permitindo a extração eficiente das percepções dos usuários sobre o ambiente urbano. Essa abordagem elimina a necessidade de pesquisas de campo intensivas e extração manual de dados, viabilizando análises escaláveis em tempo real. Validamos o framework aplicando-o a áreas urbanas selecionadas em Chicago, Nova York e Londres, demonstrando sua eficácia na revelação de insights valiosos sobre percepções urbanas. Além disso, uma avaliação comparativa utilizando um conjunto de dados público, derivado das percepções de voluntários em um experimento controlado, revelou um alto nível de concordância entre os dois conjuntos de resultados. Como prova de conceito, introduzimos o Real-Estate Urban Perceptions (REAL-UP), uma ferramenta inovadora projetada para aprimorar o mercado imobiliário. O REAL-UP oferece mapas interativos em 2D que integram dados imobiliários tradicionais (por exemplo, preços de aluguel e tipos de propriedade) com informações enriquecidas sobre emoções e sentimentos dos bairros, além de breves resenhas narrativas geradas por um Modelo de Linguagem de Grande Escala (LLM) com base em mensagens de LBSN.","['Incorporações de frases', 'Processamento de linguagem natural', 'Redes sociais baseadas em localização', 'Mercado imobiliário']",PDF (English),https://sol.sbc.org.br/index.php/sbrc_estendido/article/view/35872/35659,19/05/2025
